probe,Mode,Aperture,TxFrequency_MHz,Location_mm,Focus_mm,Voltage_V,PPP_MPa,PNP_abs_MPa,NumTrials
GE624D,pAM,45.0,12.5,9.0,9.0,19.0,2.2226473863626577,3.1268114055215186,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,20.0,2.2816765368909095,3.132931296561676,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,21.0,2.2865072000042743,3.1708078484184856,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,22.0,2.2931774667127685,3.2032255481670955,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,23.0,2.305387503276767,3.2291687288942548,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,24.0,2.3102857768988483,3.25077566740145,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,25.0,2.3158263299209527,3.271769150970027,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,26.0,2.3159432331471828,3.2908691499877563,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,27.0,2.3139982330918913,3.313925755006125,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,28.0,2.366034340747886,3.328639717005073,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,29.0,2.429817296368031,3.3336444758214583,3.0
GE624D,pAM,45.0,12.5,9.0,9.0,30.0,2.4832713979780636,3.331682339977793,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,1.6,0.23070728318404923,0.2262770702966667,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,2.0,0.29992972316457456,0.3057847598534702,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,3.0,0.4659877932439407,0.4929900553421384,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,4.0,0.6296032027337056,0.6833987202472288,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,5.0,0.7869390136078948,0.8746461863836418,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,6.0,0.9390278807653067,1.0674613625003129,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,7.0,1.0855904315801848,1.2727709206537232,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,8.0,1.2222901898813465,1.4782506419697468,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,9.0,1.3374831681263724,1.6817686724491299,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,10.0,1.4224444056413559,1.8673848145344973,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,11.0,1.483865308529101,2.0514601514160056,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,12.0,1.510464687515858,2.230866918150675,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,13.0,1.5295556569485258,2.4020338751890145,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,14.0,1.5292257499415776,2.5606776726592266,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,15.0,1.5219219405245095,2.696430595406868,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,16.0,1.5247064962941446,2.823564444425719,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,17.0,1.5035875857288123,2.9274983919187996,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,18.0,1.4984845222647696,3.027849606387768,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,19.0,1.5135715808351655,3.1217657919971855,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,20.0,1.5513034578438905,3.2091521148247817,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,21.0,1.5500819100004186,3.2750121226629716,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,22.0,1.56596990363295,3.334801868177706,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,23.0,1.6295874320940822,3.3941096363328,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,24.0,1.6843559001113848,3.4438769578167174,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,25.0,1.739531987416888,3.4874270179897717,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,26.0,1.7884564303075354,3.5252776336360987,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,27.0,1.8352707705896505,3.5604924311173805,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,28.0,1.8818758913981057,3.5898110809164154,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,29.0,1.9272972178374443,3.6190372504569175,3.0
GE624D,pAM,45.0,12.5,10.0,10.0,30.0,1.9750861298436575,3.6495834705287815,3.0
GE624D,pAM,45.0,15.625,5.0,5.0,1.6,0.32840966150900514,0.3433614740065963,3.0
